Source,Target,Type,Weight,npmi
seguir,ciencia,Undirected,5.00,0.0890
seguir,etnografia,Undirected,11.00,0.2078
seguir,associacao,Undirected,16.00,0.2234
seguir,fabio,Undirected,43.00,0.3614
seguir,claudio,Undirected,29.00,0.1825
seguir,trajetoria,Undirected,11.00,0.1812
seguir,maquina,Undirected,4.00,0.0091
seguir,ator,Undirected,34.00,0.3386
seguir,rede,Undirected,12.00,0.0424
seguir,descrevo,Undirected,17.00,0.3032
seguir,investigacao,Undirected,4.00,0.1480
seguir,historica,Undirected,4.00,0.1253
seguir,registros,Undirected,8.00,0.2057
seguir,entrevistas,Undirected,4.00,0.0805
seguir,campo,Undirected,4.00,0.0034
seguir,acesso,Undirected,3.00,0.0364
seguir,plano,Undirected,3.00,0.0855
seguir,ponto,Undirected,3.00,0.0272
seguir,segui,Undirected,4.00,0.1062
seguir,porta,Undirected,10.00,0.2705
seguir,laboratorio,Undirected,3.00,-0.0316
seguir,documentos,Undirected,3.00,0.0831
seguir,corporacao,Undirected,3.00,-0.0797
seguir,arranjo,Undirected,8.00,0.0210
seguir,ecossistema,Undirected,3.00,-0.0303
seguir,fechamento,Undirected,3.00,0.1100
trajetoria,inovacao,Undirected,5.00,0.1664
trajetoria,infraestrutura,Undirected,3.00,0.0200
trajetoria,corporacao,Undirected,18.00,0.2103
trajetoria,rede,Undirected,6.00,-0.0040
trajetoria,registro,Undirected,4.00,0.1620
trajetoria,hollerith,Undirected,11.00,0.1910
trajetoria,historica,Undirected,11.00,0.3269
trajetoria,partir,Undirected,4.00,0.0846
trajetoria,empresa,Undirected,10.00,0.1712
trajetoria,sigo,Undirected,5.00,0.1989
trajetoria,pesquisa,Undirected,3.00,-0.0857
trajetoria,brasil,Undirected,5.00,0.0719
trajetoria,tecnica,Undirected,5.00,0.1925
trajetoria,comercial,Undirected,5.00,0.2101
trajetoria,tabulacao,Undirected,3.00,0.0904
trajetoria,descrevo,Undirected,4.00,0.1206
trajetoria,segui,Undirected,3.00,0.1100
trajetoria,deixa,Undirected,7.00,0.2348
trajetoria,ponto,Undirected,5.00,0.1344
trajetoria,fala,Undirected,6.00,0.1765
trajetoria,brasileiro,Undirected,4.00,0.1572
trajetoria,secao,Undirected,6.00,0.1867
sigo,associacao,Undirected,5.00,0.1810
sigo,rede,Undirected,22.00,0.2976
sigo,pergunta,Undirected,3.00,0.1426
sigo,segui,Undirected,5.00,0.2680
sigo,ator,Undirected,9.00,0.2567
sigo,campo,Undirected,6.00,0.1890
sigo,descrevo,Undirected,3.00,0.1669
sigo,historia,Undirected,3.00,0.1794
sigo,fabio,Undirected,4.00,0.1047
sigo,claudio,Undirected,4.00,0.0318
sigo,tornou,Undirected,3.00,0.1978
sigo,modelo,Undirected,3.00,0.0838
sigo,escala,Undirected,3.00,0.1636
sigo,centro,Undirected,3.00,0.0171
comercial,cientifico,Undirected,4.00,0.1718
comercial,hollerith,Undirected,5.00,0.1760
comercial,tecnica,Undirected,13.00,0.4633
comercial,tecnologia,Undirected,3.00,0.0723
comercial,lado,Undirected,4.00,0.2224
comercial,historia,Undirected,4.00,0.2307
comercial,instituicao,Undirected,4.00,0.1424
comercial,recursos,Undirected,7.00,0.2939
comercial,centro,Undirected,3.00,0.0275
comercial,fabio,Undirected,3.00,0.0785
comercial,grupos,Undirected,3.00,0.2008
cientifico,publicacoes,Undirected,9.00,0.2365
cientifico,tecnologia,Undirected,10.00,0.1289
cientifico,relatorios,Undirected,21.00,0.4174
cientifico,centro,Undirected,16.00,0.1491
cientifico,instituicao,Undirected,3.00,0.0047
cientifico,anuais,Undirected,16.00,0.4254
cientifico,tecnica,Undirected,5.00,0.1862
cientifico,pesquisa,Undirected,20.00,0.1622
cientifico,producao,Undirected,34.00,0.5102
cientifico,grupo,Undirected,20.00,0.4008
cientifico,mapa,Undirected,3.00,0.1344
cientifico,acesso,Undirected,6.00,0.1638
cientifico,dado,Undirected,9.00,0.1678
cientifico,registro,Undirected,3.00,0.1176
lado,corporacao,Undirected,3.00,0.0442
lado,material,Undirected,3.00,0.1739
lado,maior,Undirected,5.00,0.1862
lado,associacao,Undirected,5.00,0.1810
lado,arranjo,Undirected,4.00,0.0812
lado,tecnica,Undirected,3.00,0.1521
lado,recursos,Undirected,3.00,0.1572
lado,partir,Undirected,5.00,0.1321
lado,documentos,Undirected,3.00,0.1532
lado,rede,Undirected,3.00,-0.0000
lado,producao,Undirected,3.00,0.1776
lado,publico,Undirected,5.00,0.0887
unidos,estados,Undirected,57.00,0.8591
unidos,ponto,Undirected,3.00,0.1731
unidos,hollerith,Undirected,4.00,0.1567
unidos,brasil,Undirected,4.00,0.1525
unidos,claudio,Undirected,3.00,0.0196
recursos,infraestrutura,Undirected,7.00,0.1621
recursos,centro,Undirected,10.00,0.1172
recursos,financiamento,Undirected,7.00,0.2372
recursos,laboratorio,Undirected,3.00,0.0376
recursos,fapesp,Undirected,18.00,0.3542
recursos,tecnologia,Undirected,3.00,0.0071
recursos,verbal,Undirected,3.00,0.1442
recursos,publico,Undirected,11.00,0.1734
recursos,registro,Undirected,3.00,0.1523
recursos,dado,Undirected,3.00,0.0548
registro,tornou,Undirected,3.00,0.1929
registro,centro,Undirected,6.00,0.0999
registro,descrevo,Undirected,5.00,0.2346
registro,arranjo,Undirected,7.00,0.1529
registro,verbal,Undirected,3.00,0.1940
registro,brasil,Undirected,7.00,0.2050
registro,dezembro,Undirected,3.00,0.1929
registro,pesquisa,Undirected,3.00,-0.0071
registro,registros,Undirected,3.00,0.1886
grupo,pesquisa,Undirected,36.00,0.3588
grupo,parte,Undirected,3.00,0.1149
grupo,obia,Undirected,11.00,0.4184
