Source,Target,Type,Weight,npmi
trajetoria,pesquisa,Undirected,3.00,0.1396
trajetoria,distintas,Undirected,3.00,0.1518
trajetoria,pratica,Undirected,4.00,0.0991
trajetoria,instituicao,Undirected,6.00,0.2030
trajetoria,rede,Undirected,2.00,-0.0619
trajetoria,marcelo,Undirected,4.00,0.0522
trajetoria,termos,Undirected,3.00,0.1221
trajetoria,translacao,Undirected,3.00,0.1295
trajetoria,gesto,Undirected,2.00,0.1061
trajetoria,inscricao,Undirected,7.00,0.0641
trajetoria,projeto,Undirected,3.00,0.0236
trajetoria,actante,Undirected,2.00,0.0111
trajetoria,cientifico,Undirected,9.00,0.2075
trajetoria,tecnica,Undirected,2.00,0.1223
trajetoria,artigos,Undirected,3.00,0.0507
trajetoria,fapesp,Undirected,2.00,0.1004
trajetoria,spira,Undirected,13.00,0.0817
trajetoria,relatorios,Undirected,4.00,0.2000
trajetoria,aparece,Undirected,2.00,0.0910
trajetoria,ciencia,Undirected,4.00,0.2191
trajetoria,treinamento,Undirected,3.00,0.1656
trajetoria,parte,Undirected,2.00,0.1574
trajetoria,movimento,Undirected,5.00,0.2125
trajetoria,artificial,Undirected,2.00,0.1400
trajetoria,secao,Undirected,2.00,0.0262
trajetoria,leitura,Undirected,3.00,0.1630
trajetoria,pergunta,Undirected,2.00,0.1501
trajetoria,disponivel,Undirected,4.00,0.1769
entrevista,pesquisa,Undirected,6.00,0.1412
entrevista,campo,Undirected,2.00,0.0164
entrevista,processo,Undirected,9.00,0.2074
entrevista,marcelo,Undirected,100.00,0.5015
entrevista,associacao,Undirected,13.00,0.2485
entrevista,spira,Undirected,18.00,0.0255
entrevista,etnografia,Undirected,9.00,0.2134
entrevista,corpus,Undirected,3.00,0.1169
entrevista,pandemia,Undirected,2.00,0.0540
entrevista,covid,Undirected,3.00,-0.0010
entrevista,percurso,Undirected,3.00,0.0879
entrevista,cadeia,Undirected,7.00,-0.0133
entrevista,fapesp,Undirected,2.00,0.0207
entrevista,artigos,Undirected,19.00,0.2064
entrevista,condicao,Undirected,4.00,0.0412
entrevista,relatorios,Undirected,7.00,0.1878
entrevista,momento,Undirected,6.00,0.1590
entrevista,movimento,Undirected,3.00,0.0628
entrevista,pratica,Undirected,3.00,-0.0180
entrevista,diferentes,Undirected,3.00,0.0886
entrevista,existir,Undirected,3.00,0.1080
entrevista,artigo,Undirected,16.00,0.1057
entrevista,inscricao,Undirected,4.00,-0.0877
entrevista,torna,Undirected,5.00,0.0719
entrevista,resultado,Undirected,3.00,0.0502
entrevista,analitico,Undirected,3.00,0.1266
entrevista,descricao,Undirected,2.00,0.0602
entrevista,projeto,Undirected,9.00,0.0661
entrevista,parte,Undirected,3.00,0.1246
entrevista,ruido,Undirected,2.00,-0.0375
entrevista,acesso,Undirected,3.00,0.0778
entrevista,conjunto,Undirected,2.00,0.0298
entrevista,visivel,Undirected,2.00,0.0123
entrevista,insuficiencia,Undirected,2.00,-0.0665
entrevista,respiratoria,Undirected,3.00,-0.0325
entrevista,precisao,Undirected,6.00,0.1665
entrevista,covideiro,Undirected,2.00,-0.1453
entrevista,termos,Undirected,2.00,-0.0044
entrevista,fase,Undirected,3.00,0.1207
entrevista,analise,Undirected,2.00,-0.0375
entrevista,contexto,Undirected,6.00,0.1694
entrevista,coleta,Undirected,2.00,-0.0772
entrevista,codigo,Undirected,3.00,0.0606
entrevista,partir,Undirected,6.00,0.0542
entrevista,instituicao,Undirected,2.00,-0.0126
entrevista,precisamente,Undirected,2.00,0.0426
entrevista,imutavel,Undirected,2.00,0.0686
entrevista,tornou,Undirected,2.00,0.0412
entrevista,textual,Undirected,2.00,0.0787
entrevista,espectrograma,Undirected,2.00,-0.0789
entrevista,sistema,Undirected,2.00,-0.0246
entrevista,larissa,Undirected,3.00,0.1207
entrevista,ponto,Undirected,2.00,-0.0441
dataset,pessoas,Undirected,3.00,0.0929
dataset,voz,Undirected,2.00,0.0727
dataset,spira,Undirected,63.00,0.2426
dataset,percurso,Undirected,7.00,0.2082
dataset,espectrogramas,Undirected,6.00,0.2210
dataset,covideiro,Undirected,9.00,0.0084
dataset,precisao,Undirected,6.00,0.1778
dataset,partir,Undirected,10.00,0.1326
dataset,secao,Undirected,11.00,0.1598
dataset,dado,Undirected,5.00,-0.0227
dataset,pacientes,Undirected,3.00,-0.0014
dataset,covid,Undirected,8.00,0.1282
dataset,pandemia,Undirected,2.00,0.0640
dataset,modelo,Undirected,9.00,0.0601
dataset,deteccao,Undirected,4.00,0.1498
dataset,sistema,Undirected,3.00,0.0283
dataset,analise,Undirected,6.00,0.0964
dataset,audio,Undirected,13.00,0.1713
dataset,projeto,Undirected,7.00,0.0459
dataset,disponivel,Undirected,6.00,0.1929
dataset,condicoes,Undirected,3.00,-0.0268
dataset,acesso,Undirected,3.00,0.0883
dataset,gravacao,Undirected,7.00,0.2179
dataset,parte,Undirected,3.00,0.1350
dataset,processamento,Undirected,2.00,0.0448
dataset,audioset,Undirected,9.00,0.2661
dataset,repositorio,Undirected,3.00,0.1127
dataset,possivel,Undirected,5.00,0.1379
dataset,existir,Undirected,3.00,0.1185
dataset,precisamente,Undirected,2.00,0.0526
dataset,insuficiencia,Undirected,4.00,0.0159
dataset,pandemico,Undirected,5.00,0.1320
dataset,enfermaria,Undirected,3.00,0.0408
dataset,torna,Undirected,4.00,0.0562
dataset,termos,Undirected,2.00,0.0056
dataset,ausencia,Undirected,2.00,0.0553
dataset,artigos,Undirected,4.00,0.0091
dataset,arquivo,Undirected,2.00,-0.0080
dataset,ruido,Undirected,6.00,0.0964
dataset,condicao,Undirected,7.00,0.1215
dataset,nenhum,Undirected,4.00,0.1284
