Id,Label,community,frequency,degree_weighted,betweenness,pagerank
possivel,possivel,4,48,195.0000,0.001031,0.008098
corpo,corpo,0,55,157.0000,0.000412,0.006780
causas,causas,5,37,167.0000,0.000000,0.006648
rede,rede,6,208,576.0000,0.023603,0.020345
objeto,objeto,3,203,628.0000,0.118738,0.022481
configuracao,configuracao,1,58,151.0000,0.000000,0.006462
descreve,descreve,2,45,150.0000,0.016079,0.006496
protocolo,protocolo,4,53,115.0000,0.000000,0.005332
virus,virus,0,80,175.0000,0.000618,0.007477
latour,latour,2,85,166.0000,0.000618,0.007304
contexto,contexto,1,45,94.0000,0.000000,0.004476
producao,producao,4,40,154.0000,0.000000,0.006528
artigos,artigos,2,118,400.0000,0.000206,0.013955
partir,partir,0,99,285.0000,0.000000,0.010979
covideiro,covideiro,1,239,880.0000,0.150897,0.030707
acustico,acustico,0,43,142.0000,0.001031,0.006312
pratica,pratica,3,105,288.0000,0.020408,0.011112
antiprograma,antiprograma,1,35,119.0000,0.000000,0.005445
torna,torna,4,84,302.0000,0.033189,0.011710
escolha,escolha,1,42,104.0000,0.000000,0.005005
aparece,aparece,0,54,157.0000,0.000206,0.006667
distintos,distintos,3,49,165.0000,0.000000,0.006799
codigo,codigo,2,51,119.0000,0.000000,0.005513
centro,centro,2,61,244.0000,0.020202,0.010136
precisamente,precisamente,4,45,102.0000,0.000000,0.004871
resultado,resultado,4,55,96.0000,0.000000,0.004749
projeto,projeto,2,151,531.0000,0.026592,0.018653
cientifico,cientifico,2,106,352.0000,0.000000,0.012688
visivel,visivel,4,59,197.0000,0.000825,0.008093
coeficientes,coeficientes,0,56,88.0000,0.000000,0.004601
respiratoria,respiratoria,5,124,710.0000,0.050299,0.022903
coleta,coleta,4,122,421.0000,0.057926,0.015800
condicoes,condicoes,4,124,344.0000,0.020202,0.012952
entrevista,entrevista,2,75,267.0000,0.000618,0.010081
audio,audio,0,117,335.0000,0.045764,0.012519
actante,actante,1,115,369.0000,0.017728,0.014031
dado,dado,0,184,542.0000,0.034426,0.019226
controles,controles,0,46,141.0000,0.000825,0.006251
enfermaria,enfermaria,0,67,210.0000,0.001649,0.008627
publico,publico,2,42,127.0000,0.000825,0.005723
escala,escala,0,68,72.0000,0.000000,0.004047
laboratorio,laboratorio,1,87,232.0000,0.000000,0.009047
sistema,sistema,1,77,206.0000,0.000000,0.008280
covid,covid,5,86,324.0000,0.006184,0.011801
distintas,distintas,3,44,126.0000,0.000000,0.005603
espectrograma,espectrograma,0,136,377.0000,0.040610,0.014230
marcelo,marcelo,2,160,524.0000,0.031334,0.018760
modelo,modelo,0,189,506.0000,0.042259,0.018681
momento,momento,1,44,92.0000,0.000000,0.004644
deteccao,deteccao,5,39,198.0000,0.002268,0.007545
neural,neural,6,46,206.0000,0.000000,0.007825
tornou,tornou,4,39,155.0000,0.004123,0.006599
campo,campo,1,52,158.0000,0.000412,0.007185
inscricao,inscricao,1,240,790.0000,0.251907,0.028024
acao,acao,1,37,109.0000,0.000206,0.005247
termos,termos,2,58,157.0000,0.000000,0.006642
paciente,paciente,0,71,250.0000,0.007009,0.010090
translacao,translacao,3,56,172.0000,0.000000,0.007072
metodo,metodo,2,50,139.0000,0.000000,0.006280
pacientes,pacientes,5,100,313.0000,0.009895,0.011826
etapa,etapa,3,49,131.0000,0.000000,0.005747
computacional,computacional,0,44,111.0000,0.000000,0.005081
ambiente,ambiente,0,35,137.0000,0.000000,0.006199
ruido,ruido,0,97,321.0000,0.033601,0.012689
insuficiencia,insuficiencia,5,117,708.0000,0.018553,0.022859
ponto,ponto,3,84,215.0000,0.000000,0.008662
treinado,treinado,0,30,131.0000,0.000412,0.005749
arquivo,arquivo,0,60,185.0000,0.008246,0.007557
spira,spira,2,448,1639.0000,0.645125,0.055524
sinal,sinal,0,102,302.0000,0.023706,0.011799
fala,fala,0,65,171.0000,0.000206,0.007315
analise,analise,2,99,336.0000,0.015873,0.012359
acustica,acustica,5,46,144.0000,0.000000,0.006010
preta,preta,0,29,32.0000,0.000000,0.002686
processamento,processamento,1,39,92.0000,0.001031,0.004635
cadeia,cadeia,3,219,757.0000,0.132138,0.027448
repositorio,repositorio,0,33,132.0000,0.001443,0.005914
produz,produz,3,54,171.0000,0.000000,0.007096
versao,versao,5,48,122.0000,0.000000,0.005226
pesquisa,pesquisa,1,53,114.0000,0.000000,0.005445
dataset,dataset,2,70,259.0000,0.000000,0.009759
pandemico,pandemico,1,53,250.0000,0.002886,0.009385
dispositivo,dispositivo,1,84,274.0000,0.012781,0.010551
treinamento,treinamento,0,47,154.0000,0.001237,0.006745
humano,humano,1,81,160.0000,0.000206,0.006950
algoritmo,algoritmo,0,47,90.0000,0.000000,0.004635
artigo,artigo,2,205,627.0000,0.061843,0.022075
pesquisador,pesquisador,1,63,127.0000,0.000000,0.005772
celular,celular,0,68,157.0000,0.000206,0.006867
imagem,imagem,0,97,201.0000,0.001443,0.008305
secao,secao,2,88,231.0000,0.000000,0.009243
programa,programa,1,46,165.0000,0.019790,0.007225
condicao,condicao,1,84,243.0000,0.000000,0.009440
etnografia,etnografia,1,42,139.0000,0.000000,0.006228
translacoes,translacoes,3,30,123.0000,0.000000,0.005410
calculo,calculo,2,29,136.0000,0.000000,0.006213
diferentes,diferentes,3,46,156.0000,0.000412,0.006441
instituicao,instituicao,2,78,171.0000,0.000000,0.007169
hospitais,hospitais,5,46,137.0000,0.000000,0.005923
fonoaudiologos,fonoaudiologos,1,55,132.0000,0.000000,0.005706
