Id,Label,community,frequency,degree_weighted,betweenness,pagerank
trajetoria,trajetoria,2,28,91.0000,0.000000,0.002593
entrevista,entrevista,2,73,321.0000,0.002009,0.006855
dataset,dataset,2,65,317.0000,0.005900,0.006883
acuracia,acuracia,1,30,118.0000,0.000000,0.003156
cientifico,cientifico,2,101,430.0000,0.000000,0.008824
controles,controles,1,42,170.0000,0.000628,0.004107
nenhuma,nenhuma,6,31,114.0000,0.000000,0.003075
painel,painel,0,28,36.0000,0.000000,0.001522
registro,registro,2,28,75.0000,0.000000,0.002306
grupo,grupo,4,36,147.0000,0.000000,0.003753
cadeia,cadeia,0,222,1020.0000,0.127644,0.020611
padroes,padroes,5,39,108.0000,0.000000,0.002932
mundo,mundo,3,41,141.0000,0.000000,0.003544
modelo,modelo,1,174,657.0000,0.074446,0.013807
tornou,tornou,3,38,184.0000,0.002511,0.004341
imutavel,imutavel,0,30,177.0000,0.001444,0.004295
marcelo,marcelo,2,152,610.0000,0.024543,0.012506
publico,publico,2,40,173.0000,0.011864,0.004312
imagem,imagem,4,88,282.0000,0.000847,0.006394
instituicao,instituicao,2,66,208.0000,0.021342,0.004956
circular,circular,2,31,129.0000,0.000000,0.003316
respiratoria,respiratoria,5,113,760.0000,0.075890,0.014458
enfermaria,enfermaria,1,65,261.0000,0.001883,0.005910
associacao,associacao,6,38,139.0000,0.000000,0.003505
pandemia,pandemia,2,33,133.0000,0.000251,0.003407
relatorios,relatorios,2,40,155.0000,0.000000,0.003894
dispositivo,dispositivo,0,76,350.0000,0.002636,0.007552
gesto,gesto,0,38,108.0000,0.000000,0.002887
frequencias,frequencias,1,42,122.0000,0.000722,0.003264
saude,saude,2,27,88.0000,0.000377,0.002669
arquivo,arquivo,4,62,295.0000,0.019114,0.006575
ciencia,ciencia,2,35,110.0000,0.000063,0.003086
inscricao,inscricao,0,244,1094.0000,0.230086,0.022152
contexto,contexto,3,40,149.0000,0.000000,0.003687
processo,processo,0,45,144.0000,0.002323,0.003734
treinamento,treinamento,1,40,200.0000,0.000377,0.004758
designa,designa,7,27,110.0000,0.000628,0.002990
movel,movel,0,35,194.0000,0.000000,0.004642
condicoes,condicoes,3,121,435.0000,0.014249,0.009103
virus,virus,4,82,289.0000,0.001632,0.006636
leitor,leitor,2,47,138.0000,0.009321,0.003605
pessoas,pessoas,3,37,145.0000,0.000000,0.003708
nenhum,nenhum,3,39,127.0000,0.000000,0.003284
carrega,carrega,4,34,133.0000,0.000000,0.003470
ator,ator,6,35,121.0000,0.000000,0.003101
frequencia,frequencia,1,53,121.0000,0.003201,0.003260
sinal,sinal,1,101,386.0000,0.028372,0.008425
espectrograma,espectrograma,4,123,527.0000,0.055458,0.011135
aparece,aparece,4,51,191.0000,0.001224,0.004479
diferentes,diferentes,7,40,171.0000,0.000000,0.004079
arquitetura,arquitetura,6,35,122.0000,0.000000,0.003136
fonoaudiologos,fonoaudiologos,3,55,213.0000,0.010797,0.004898
observador,observador,1,39,150.0000,0.000000,0.003735
translacao,translacao,0,55,266.0000,0.001758,0.005840
insuficiencia,insuficiencia,5,106,724.0000,0.032515,0.013755
laboratorio,laboratorio,2,85,350.0000,0.000188,0.007646
coleta,coleta,3,121,505.0000,0.032641,0.010596
calculo,calculo,2,28,163.0000,0.000000,0.004021
torna,torna,0,77,353.0000,0.023665,0.007858
conceito,conceito,0,30,94.0000,0.000000,0.002720
pratica,pratica,7,101,418.0000,0.015442,0.009055
treinado,treinado,1,30,191.0000,0.000000,0.004472
sequencia,sequencia,4,43,103.0000,0.000000,0.002874
leitura,leitura,0,37,90.0000,0.000000,0.002668
fapesp,fapesp,2,41,87.0000,0.000000,0.002504
producao,producao,3,40,192.0000,0.000000,0.004444
partir,partir,6,99,391.0000,0.000000,0.008321
grade,grade,1,34,126.0000,0.000063,0.003426
percurso,percurso,0,39,145.0000,0.000000,0.003513
audioset,audioset,1,32,123.0000,0.000753,0.003244
repositorio,repositorio,1,37,186.0000,0.014249,0.004536
linguagem,linguagem,1,34,124.0000,0.002511,0.003364
topologia,topologia,6,33,123.0000,0.000000,0.003136
mapa,mapa,0,28,121.0000,0.010797,0.003247
hospital,hospital,1,33,59.0000,0.000000,0.002025
padrao,padrao,1,33,117.0000,0.000063,0.003197
paciente,paciente,4,67,312.0000,0.013496,0.006924
computacional,computacional,1,44,179.0000,0.000063,0.004232
dado,dado,1,190,718.0000,0.064152,0.014606
presenca,presenca,4,28,133.0000,0.000000,0.003437
ausencia,ausencia,4,39,134.0000,0.000126,0.003494
campo,campo,1,49,190.0000,0.000188,0.004592
onda,onda,4,43,148.0000,0.000000,0.003742
termos,termos,0,61,237.0000,0.000000,0.005376
acustico,acustico,1,41,200.0000,0.000565,0.004788
construcao,construcao,2,28,102.0000,0.000251,0.002857
tornar,tornar,0,28,114.0000,0.000000,0.003023
existir,existir,7,28,145.0000,0.000000,0.003682
descricao,descricao,2,30,140.0000,0.011110,0.003561
diferenca,diferenca,1,46,126.0000,0.000000,0.003342
metodo,metodo,0,43,169.0000,0.000126,0.004080
corpos,corpos,3,28,77.0000,0.000000,0.002353
pesquisa,pesquisa,2,50,185.0000,0.000314,0.004595
precisamente,precisamente,2,38,150.0000,0.000000,0.003760
aliados,aliados,6,32,87.0000,0.000000,0.002483
corpus,corpus,1,29,77.0000,0.000000,0.002370
tecnociencia,tecnociencia,0,30,144.0000,0.000000,0.003456
espectrogramas,espectrogramas,1,29,107.0000,0.000000,0.002960
