Source,Target,Type,Weight,npmi
diagrama,acesso,Undirected,6.00,0.3109
diagrama,imagem,Undirected,8.00,0.3771
diagrama,cadeia,Undirected,5.00,0.2817
diagrama,inscricao,Undirected,11.00,0.2716
diagrama,modelo,Undirected,3.00,0.0581
diagrama,notas,Undirected,4.00,0.2378
diagrama,campo,Undirected,2.00,-0.0175
diagrama,escrita,Undirected,2.00,0.0882
diagrama,diferenca,Undirected,3.00,0.2396
diagrama,funcionam,Undirected,12.00,0.3844
diagrama,construcao,Undirected,3.00,0.1489
diagrama,partir,Undirected,3.00,0.1107
diagrama,parte,Undirected,3.00,0.1023
diagrama,condicao,Undirected,2.00,0.0852
diagrama,principio,Undirected,2.00,0.1643
diagrama,ciencia,Undirected,3.00,0.0148
diagrama,colaboracao,Undirected,3.00,0.1955
diagrama,produz,Undirected,6.00,0.2782
diagrama,latour,Undirected,3.00,0.0577
diagrama,agencia,Undirected,5.00,0.2178
diagrama,acao,Undirected,3.00,0.1678
diagrama,lugar,Undirected,2.00,0.0254
diagrama,computacao,Undirected,2.00,0.1474
diagrama,torna,Undirected,2.00,0.0913
diagrama,objeto,Undirected,2.00,0.0076
diagrama,instrumentos,Undirected,2.00,0.1528
diagrama,ator,Undirected,3.00,0.1327
diagrama,distribuida,Undirected,3.00,0.2252
diagrama,compostagem,Undirected,2.00,0.1178
diagrama,aparece,Undirected,3.00,0.2252
interlocutores,cientista,Undirected,4.00,0.2334
interlocutores,entrevistas,Undirected,6.00,0.3872
interlocutores,diferentes,Undirected,3.00,0.2374
interlocutores,gesto,Undirected,4.00,0.1710
interlocutores,relacao,Undirected,3.00,0.2001
interlocutores,ausencia,Undirected,3.00,0.2440
interlocutores,manifesta,Undirected,2.00,0.2199
interlocutores,questao,Undirected,2.00,0.2038
interlocutores,funcionam,Undirected,2.00,0.1734
interlocutores,parte,Undirected,4.00,0.2065
interlocutores,rede,Undirected,2.00,-0.0245
interlocutores,artificial,Undirected,2.00,0.0814
interlocutores,termos,Undirected,3.00,0.2168
precisa,sociais,Undirected,2.00,0.0973
precisa,sustenta,Undirected,3.00,0.2101
precisa,processo,Undirected,2.00,0.1674
precisa,rede,Undirected,2.00,-0.0343
precisa,descricao,Undirected,7.00,0.2824
precisa,ponto,Undirected,23.00,0.5410
precisa,analise,Undirected,2.00,0.1026
precisa,inteligencia,Undirected,2.00,0.0716
precisa,artificial,Undirected,3.00,0.1215
precisa,armadilha,Undirected,3.00,0.2862
precisa,etnografia,Undirected,3.00,0.0685
precisa,lugar,Undirected,6.00,0.2248
