Source,Target,Type,Weight,npmi
diagrama,inscricao,Undirected,11.00,0.2716
diagrama,modelo,Undirected,3.00,0.0581
diagrama,funcionam,Undirected,12.00,0.3844
diagrama,construcao,Undirected,3.00,0.1489
diagrama,partir,Undirected,3.00,0.1107
diagrama,parte,Undirected,3.00,0.1023
diagrama,ciencia,Undirected,3.00,0.0148
diagrama,produz,Undirected,6.00,0.2782
diagrama,latour,Undirected,3.00,0.0577
diagrama,agencia,Undirected,5.00,0.2178
diagrama,acao,Undirected,3.00,0.1678
diagrama,ator,Undirected,3.00,0.1327
diagrama,distribuida,Undirected,3.00,0.2252
diagrama,aparece,Undirected,3.00,0.2252
tecnico,objeto,Undirected,5.00,0.0807
tecnico,torna,Undirected,5.00,0.1737
tecnico,letramento,Undirected,47.00,0.6724
tecnico,social,Undirected,14.00,0.3652
tecnico,artificial,Undirected,8.00,0.1611
tecnico,vocabulario,Undirected,3.00,0.0632
tecnico,modos,Undirected,3.00,0.1151
tecnico,inscricao,Undirected,3.00,0.0443
tecnico,funcionam,Undirected,3.00,0.1264
tecnico,presenca,Undirected,3.00,0.1482
tecnico,spira,Undirected,8.00,0.2721
tecnico,pesquisa,Undirected,4.00,-0.0441
tecnico,condicao,Undirected,7.00,0.2169
tecnico,cientista,Undirected,4.00,0.1282
tecnico,etnografia,Undirected,5.00,0.0381
tecnico,construcao,Undirected,3.00,0.1116
tecnico,humano,Undirected,3.00,0.0021
tecnico,conhecimento,Undirected,11.00,0.2648
tecnico,sociais,Undirected,6.00,0.1486
tecnico,campo,Undirected,6.00,0.0767
tecnico,inteligencia,Undirected,4.00,0.0654
tecnico,problema,Undirected,3.00,0.1435
tecnico,funciona,Undirected,3.00,0.1750
tecnico,lugar,Undirected,3.00,0.0359
associacao,construcao,Undirected,8.00,0.2624
associacao,actante,Undirected,10.00,0.2472
associacao,seguir,Undirected,7.00,0.3047
associacao,pesquisador,Undirected,6.00,0.1262
associacao,parte,Undirected,4.00,0.1101
associacao,rede,Undirected,15.00,0.1384
associacao,kofes,Undirected,3.00,0.1431
associacao,pesquisa,Undirected,5.00,-0.0090
associacao,materiais,Undirected,3.00,0.1272
associacao,relacoes,Undirected,4.00,0.1241
associacao,humano,Undirected,3.00,0.0106
associacao,produzem,Undirected,3.00,0.2107
associacao,ator,Undirected,4.00,0.1416
acao,latour,Undirected,11.00,0.2434
acao,ciencia,Undirected,30.00,0.3653
