Id,Label,community,frequency,degree_weighted,betweenness,pagerank
diagrama,diagrama,2,28,64.0000,0.005360,0.005812
tecnico,tecnico,0,39,164.0000,0.011750,0.011916
associacao,associacao,2,36,75.0000,0.000206,0.006206
acao,acao,0,28,77.0000,0.000000,0.006170
gesto,gesto,1,68,183.0000,0.015461,0.012800
formulacao,formulacao,3,43,106.0000,0.009276,0.008166
descreve,descreve,5,37,130.0000,0.002474,0.009598
hinterland,hinterland,6,36,120.0000,0.026592,0.009121
conceito,conceito,2,29,80.0000,0.000000,0.006523
sustenta,sustenta,6,31,113.0000,0.004535,0.008739
existencia,existencia,3,18,76.0000,0.012162,0.006906
spira,spira,0,24,49.0000,0.000000,0.004661
agencia,agencia,2,34,110.0000,0.001031,0.008782
parte,parte,5,50,215.0000,0.022470,0.014569
aparece,aparece,1,17,62.0000,0.000000,0.005531
composicao,composicao,5,61,249.0000,0.045145,0.016791
parciais,parciais,3,34,133.0000,0.004535,0.010174
materiais,materiais,4,31,85.0000,0.000000,0.007073
rede,rede,2,179,564.0000,0.251391,0.036603
strathern,strathern,1,46,146.0000,0.021645,0.010762
funcionam,funcionam,2,29,57.0000,0.001237,0.005398
letramento,letramento,0,25,103.0000,0.003092,0.007766
funciona,funciona,2,19,66.0000,0.000000,0.005632
teoria,teoria,2,25,145.0000,0.006597,0.009893
torna,torna,0,35,113.0000,0.000206,0.008554
compostagem,compostagem,1,28,90.0000,0.001237,0.007217
ausencia,ausencia,6,26,136.0000,0.007627,0.010052
humano,humano,3,107,228.0000,0.044321,0.016784
tecnologia,tecnologia,0,45,95.0000,0.000000,0.006927
tecnociencia,tecnociencia,2,28,103.0000,0.036075,0.007879
maquina,maquina,3,50,90.0000,0.000825,0.007245
argumento,argumento,1,31,68.0000,0.000000,0.005730
claude,claude,5,75,248.0000,0.048444,0.016553
existe,existe,5,19,60.0000,0.000618,0.005106
condicoes,condicoes,4,20,50.0000,0.000000,0.004680
textil,textil,1,28,98.0000,0.001031,0.007622
dado,dado,0,57,162.0000,0.053597,0.011345
pesquisador,pesquisador,5,69,204.0000,0.047825,0.013989
construcao,construcao,4,33,130.0000,0.004123,0.009400
produzem,produzem,0,15,64.0000,0.001237,0.005643
cientista,cientista,0,41,124.0000,0.006803,0.009160
seguir,seguir,2,20,70.0000,0.000206,0.005962
simetria,simetria,3,17,76.0000,0.014945,0.006139
regra,regra,3,25,83.0000,0.001443,0.006561
experiencia,experiencia,3,26,80.0000,0.000000,0.006224
centro,centro,4,35,74.0000,0.000000,0.005835
laboratorio,laboratorio,0,42,94.0000,0.001237,0.007334
possivel,possivel,4,22,77.0000,0.000000,0.006307
kofes,kofes,3,27,77.0000,0.000000,0.006348
processo,processo,5,28,60.0000,0.000000,0.005204
nomeia,nomeia,1,24,87.0000,0.000206,0.007024
cientifico,cientifico,2,35,39.0000,0.000000,0.003934
secao,secao,1,30,130.0000,0.002474,0.009778
inscricao,inscricao,2,60,158.0000,0.037518,0.011949
ator,ator,2,38,177.0000,0.017728,0.011895
figuracao,figuracao,1,36,124.0000,0.022624,0.009508
termos,termos,5,32,56.0000,0.000000,0.005086
pensar,pensar,1,35,101.0000,0.002886,0.008023
presenca,presenca,6,24,121.0000,0.005772,0.009177
social,social,0,30,76.0000,0.003092,0.006229
mundo,mundo,0,29,91.0000,0.006184,0.007371
metodo,metodo,3,99,317.0000,0.121676,0.021718
analise,analise,0,51,112.0000,0.006597,0.008308
existencias,existencias,3,25,114.0000,0.007627,0.008930
parcial,parcial,3,17,69.0000,0.001649,0.006303
vocabulario,vocabulario,1,51,170.0000,0.009380,0.011866
actante,actante,2,50,85.0000,0.003917,0.007004
corte,corte,1,49,162.0000,0.029066,0.011879
otherness,otherness,6,28,157.0000,0.024943,0.011532
posicao,posicao,1,31,63.0000,0.000000,0.005273
modelo,modelo,5,73,219.0000,0.040610,0.015749
campo,campo,0,95,238.0000,0.020202,0.015941
condicao,condicao,1,37,82.0000,0.000412,0.006618
latour,latour,3,73,200.0000,0.017625,0.014150
inteligencia,inteligencia,4,67,348.0000,0.046794,0.020045
modos,modos,4,32,70.0000,0.013605,0.005937
problema,problema,1,25,65.0000,0.003298,0.005547
objeto,objeto,0,76,249.0000,0.060812,0.016831
pratica,pratica,4,66,180.0000,0.015461,0.012805
relacao,relacao,5,37,93.0000,0.000000,0.007196
manifesta,manifesta,6,19,127.0000,0.000000,0.009480
etnografia,etnografia,4,107,404.0000,0.109101,0.026338
partir,partir,1,46,142.0000,0.006597,0.010414
sociais,sociais,0,53,211.0000,0.030097,0.013729
produz,produz,1,26,93.0000,0.004329,0.007525
cortes,cortes,0,35,92.0000,0.000000,0.007342
computacional,computacional,6,27,68.0000,0.018759,0.006386
haraway,haraway,1,54,160.0000,0.006390,0.011809
lugar,lugar,0,64,147.0000,0.000206,0.010556
artificial,artificial,4,67,325.0000,0.014430,0.018749
relacoes,relacoes,0,45,103.0000,0.001855,0.007943
descricao,descricao,4,49,156.0000,0.012369,0.011054
linguagem,linguagem,5,36,90.0000,0.000000,0.007020
ciencia,ciencia,0,108,434.0000,0.133478,0.027591
escrita,escrita,5,36,169.0000,0.007524,0.011610
distribuida,distribuida,2,17,77.0000,0.000000,0.006466
pesquisa,pesquisa,4,169,512.0000,0.292053,0.033035
material,material,4,27,74.0000,0.000000,0.006143
conhecimento,conhecimento,0,45,155.0000,0.006597,0.011124
infraestrutura,infraestrutura,6,31,72.0000,0.001443,0.006689
