Id,Label,community,frequency,degree_weighted,betweenness,pagerank
diagrama,diagrama,3,28,113.0000,0.002448,0.004952
interlocutores,interlocutores,6,16,40.0000,0.002574,0.002325
precisa,precisa,4,19,78.0000,0.000126,0.003519
tecnico,tecnico,2,39,197.0000,0.015944,0.007518
associacao,associacao,4,36,133.0000,0.001789,0.005510
recursos,recursos,5,23,61.0000,0.000000,0.002916
situada,situada,1,16,73.0000,0.000157,0.003481
acao,acao,2,28,124.0000,0.010169,0.005146
gesto,gesto,0,68,255.0000,0.018957,0.009593
observacao,observacao,1,15,42.0000,0.000000,0.002279
formulacao,formulacao,0,43,150.0000,0.005524,0.006044
descreve,descreve,3,37,173.0000,0.002323,0.006785
parceria,parceria,1,16,29.0000,0.000000,0.001782
hinterland,hinterland,8,36,185.0000,0.015787,0.007358
conceito,conceito,0,29,134.0000,0.011707,0.005622
sustenta,sustenta,0,31,171.0000,0.005587,0.006874
existencia,existencia,5,18,111.0000,0.008035,0.004788
spira,spira,2,24,103.0000,0.009541,0.004494
agencia,agencia,5,34,166.0000,0.007658,0.006718
sociedade,sociedade,2,16,50.0000,0.000000,0.002553
computacao,computacao,2,21,88.0000,0.000126,0.003818
parte,parte,3,50,247.0000,0.017450,0.009082
responsabilidade,responsabilidade,2,18,56.0000,0.000000,0.002842
aparece,aparece,0,17,96.0000,0.000377,0.004223
composicao,composicao,3,61,319.0000,0.036533,0.011598
parciais,parciais,0,34,192.0000,0.007156,0.007486
materiais,materiais,1,31,163.0000,0.013851,0.006761
rede,rede,4,179,735.0000,0.257485,0.026108
strathern,strathern,0,46,227.0000,0.032452,0.008797
funcionam,funcionam,3,29,108.0000,0.001758,0.004730
questao,questao,0,22,75.0000,0.000063,0.003464
letramento,letramento,2,25,129.0000,0.003327,0.005140
entidades,entidades,5,25,76.0000,0.001255,0.003461
costura,costura,0,17,81.0000,0.001506,0.003631
palavra,palavra,2,20,65.0000,0.001067,0.003261
decisoes,decisoes,5,21,93.0000,0.000000,0.004029
funciona,funciona,3,19,100.0000,0.000251,0.004268
decisao,decisao,6,22,86.0000,0.000900,0.003979
teoria,teoria,4,25,158.0000,0.004959,0.005872
torna,torna,1,35,157.0000,0.000000,0.006138
compostagem,compostagem,0,28,117.0000,0.000816,0.004877
ausencia,ausencia,8,26,170.0000,0.006089,0.006760
humano,humano,5,107,346.0000,0.059444,0.013323
tecnologia,tecnologia,2,45,183.0000,0.009478,0.007192
tecnociencia,tecnociencia,3,28,145.0000,0.031385,0.005825
maquina,maquina,5,50,158.0000,0.018329,0.006510
argumento,argumento,0,31,109.0000,0.000000,0.004543
claude,claude,3,75,323.0000,0.043688,0.011645
existe,existe,3,19,95.0000,0.001789,0.004075
tornar,tornar,1,15,47.0000,0.000000,0.002558
narrativa,narrativa,0,19,60.0000,0.000000,0.002880
condicoes,condicoes,1,20,95.0000,0.001255,0.004294
armadilha,armadilha,1,16,42.0000,0.000063,0.002355
textil,textil,0,28,144.0000,0.003139,0.005766
dado,dado,2,57,245.0000,0.057142,0.009218
imagem,imagem,3,18,39.0000,0.000188,0.002246
pesquisador,pesquisador,4,69,267.0000,0.034555,0.009905
cortar,cortar,0,15,86.0000,0.000063,0.003715
construcao,construcao,1,33,166.0000,0.007156,0.006341
produzem,produzem,7,15,96.0000,0.001004,0.004182
instrumentos,instrumentos,3,20,88.0000,0.000000,0.003872
efeitos,efeitos,7,17,68.0000,0.000063,0.003317
escolha,escolha,0,18,57.0000,0.000000,0.002848
retalhos,retalhos,0,16,39.0000,0.000063,0.002202
stengers,stengers,0,16,39.0000,0.000000,0.002169
politicas,politicas,6,18,47.0000,0.000126,0.002564
cientista,cientista,2,41,188.0000,0.022472,0.007353
termo,termo,0,21,89.0000,0.000628,0.003944
teorico,teorico,0,23,82.0000,0.000000,0.003616
diferentes,diferentes,7,28,56.0000,0.000063,0.002873
formula,formula,0,16,85.0000,0.000126,0.003865
registro,registro,8,19,85.0000,0.000251,0.003887
seguir,seguir,4,20,101.0000,0.000377,0.004356
simetria,simetria,0,17,108.0000,0.013590,0.004506
presente,presente,1,16,68.0000,0.011895,0.003208
barad,barad,0,15,70.0000,0.000000,0.003191
regra,regra,0,25,106.0000,0.002323,0.004353
experiencia,experiencia,0,26,129.0000,0.012617,0.005259
cadeia,cadeia,4,20,84.0000,0.000000,0.003844
pessoa,pessoa,0,21,70.0000,0.000000,0.003315
centro,centro,1,35,99.0000,0.000000,0.004124
possibilidade,possibilidade,0,17,92.0000,0.003264,0.004024
laboratorio,laboratorio,2,42,153.0000,0.007313,0.006130
possivel,possivel,1,22,101.0000,0.000000,0.004248
acesso,acesso,1,20,61.0000,0.000000,0.003053
kofes,kofes,0,27,113.0000,0.000063,0.004782
processo,processo,3,28,101.0000,0.000000,0.004275
nomeia,nomeia,0,24,139.0000,0.000188,0.005818
conexoes,conexoes,0,23,92.0000,0.004896,0.004071
cientifico,cientifico,6,35,107.0000,0.009499,0.004913
recusa,recusa,0,15,50.0000,0.000000,0.002592
secao,secao,0,30,158.0000,0.008035,0.006177
ponto,ponto,4,24,93.0000,0.009227,0.004116
metafora,metafora,0,18,65.0000,0.000000,0.003087
inscricao,inscricao,3,60,245.0000,0.042621,0.009624
ator,ator,4,38,211.0000,0.009478,0.007737
figuracao,figuracao,0,36,201.0000,0.025872,0.007873
generativa,generativa,1,16,82.0000,0.007784,0.003491
estudos,estudos,2,15,74.0000,0.000000,0.003211
termos,termos,5,32,105.0000,0.001506,0.004636
pensar,pensar,0,35,185.0000,0.004410,0.007599
momento,momento,6,15,51.0000,0.000073,0.002656
presenca,presenca,8,24,142.0000,0.003452,0.005770
unica,unica,2,15,51.0000,0.000000,0.002644
notas,notas,3,22,64.0000,0.007156,0.003083
social,social,2,30,111.0000,0.003641,0.004657
mundo,mundo,7,29,128.0000,0.004017,0.005248
fato,fato,1,17,47.0000,0.000314,0.002478
metodo,metodo,0,99,449.0000,0.122068,0.016581
